process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHbox_at_1,yield_cHbox_at_0p3,cHbox_95CL_LL,cHbox_95CL_UL,yield_cHbox_95CL_LL,yield_cHbox_95CL_UL,comb_cHbox_95CL_LL,comb_cHbox_95CL_UL,comb_yield_cHbox_95CL_LL,comb_yield_cHbox_95CL_UL,all_comb_cHbox_95CL_LL,all_comb_cHbox_95CL_UL,all_comb_yield_cHbox_95CL_LL,all_comb_yield_cHbox_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHbox,sm_lin_quad_cHbox,quad_cHbox,lin_cHbox,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,34.66462107654681,34.54989951495246,-149.07251557057305,130.14323411458514,398.0160317489381,346.02532398266,-111.38109244925286,103.36721535447563,233.45324050630427,234.0332275262244,-59.52626374323403,53.271914967158445,233.45324050630427,234.0332275262244,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,34.66462107654681,0.017306130170558192,0.14138997591305724,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,1.484411482473272,1.4777690900829814,-233.6363547521493,205.4185969302515,75.65860056863585,61.78609958607384,-111.38109244925286,103.36721535447563,17.887377944379452,17.14118343037829,-59.52626374323403,53.271914967158445,17.887377944379452,17.14118343037829,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.484411482473272,0.0013918877988357392,0.007679677847642896,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,0.35543266564492615,0.3536285184629712,-307.12166641063016,274.5267246332847,43.61013076578312,35.94127468526532,-111.38109244925286,103.36721535447563,5.902261959983899,5.525626320823003,-59.52626374323403,53.271914967158445,5.902261959983899,5.525626320823003,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.35543266564492615,0.00046502653022674457,0.0019728186277837567,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,0.12576964468814691,0.12502862592783645,-371.7768225637061,337.8423396944115,31.086035266678234,26.185044290161194,-111.38109244925286,103.36721535447563,2.8440467613216547,2.6192274498136077,-59.52626374323403,53.271914967158445,2.8440467613216547,2.6192274498136077,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.12576964468814691,0.00022605999472945543,0.0007647202358666422,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,34.66462107654681,34.54989951495246,-149.07251557057305,130.14323411458514,398.0160317489381,346.02532398266,-111.38109244925286,103.36721535447563,233.45324050630427,234.0332275262244,-59.52626374323403,53.271914967158445,233.45324050630427,234.0332275262244,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,34.66462107654681,0.017306130170558192,0.14138997591305724,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,1.484411482473272,1.4777690900829814,-233.6363547521493,205.4185969302515,75.65860056863585,61.78609958607384,-111.38109244925286,103.36721535447563,17.887377944379452,17.14118343037829,-59.52626374323403,53.271914967158445,17.887377944379452,17.14118343037829,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.484411482473272,0.0013918877988357392,0.007679677847642896,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,0.35543266564492615,0.3536285184629712,-307.12166641063016,274.5267246332847,43.61013076578312,35.94127468526532,-111.38109244925286,103.36721535447563,5.902261959983899,5.525626320823003,-59.52626374323403,53.271914967158445,5.902261959983899,5.525626320823003,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.35543266564492615,0.00046502653022674457,0.0019728186277837567,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,0.12576964468814691,0.12502862592783645,-371.7768225637061,337.8423396944115,31.086035266678234,26.185044290161194,-111.38109244925286,103.36721535447563,2.8440467613216547,2.6192274498136077,-59.52626374323403,53.271914967158445,2.8440467613216547,2.6192274498136077,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.12576964468814691,0.00022605999472945543,0.0007647202358666422,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,34.66462107654681,34.54989951495246,-149.07251557057305,130.14323411458514,398.0160317489381,346.02532398266,-111.38109244925286,103.36721535447563,233.45324050630427,234.0332275262244,-59.52626374323403,53.271914967158445,233.45324050630427,234.0332275262244,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,34.66462107654681,0.017306130170558192,0.14138997591305724,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,1.484411482473272,1.4777690900829814,-233.6363547521493,205.4185969302515,75.65860056863585,61.78609958607384,-111.38109244925286,103.36721535447563,17.887377944379452,17.14118343037829,-59.52626374323403,53.271914967158445,17.887377944379452,17.14118343037829,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.484411482473272,0.0013918877988357392,0.007679677847642896,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
