process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHl3_at_1,yield_cHl3_at_0p3,cHl3_95CL_LL,cHl3_95CL_UL,yield_cHl3_95CL_LL,yield_cHl3_95CL_UL,comb_cHl3_95CL_LL,comb_cHl3_95CL_UL,comb_yield_cHl3_95CL_LL,comb_yield_cHl3_95CL_UL,all_comb_cHl3_95CL_LL,all_comb_cHl3_95CL_UL,all_comb_yield_cHl3_95CL_LL,all_comb_yield_cHl3_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHl3,sm_lin_quad_cHl3,quad_cHl3,lin_cHl3,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.453632454977241,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075774,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
TTbar,3,2500.0,3000.0,5.822826702147722,0.7932122228369982,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
TTbar,4,3000.0,3500.0,1.3927788622677326,0.3782020039470605,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WJets,1,1100.0,2000.0,1377.3680602400855,11.487063777598474,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WJets,2,2000.0,2500.0,27.586104618152604,1.6326704450275293,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WJets,3,2500.0,3000.0,4.344207974485471,0.6476899967839551,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WJets,4,3000.0,3500.0,1.0306387416349025,0.3118642947060499,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WW,1,1100.0,2000.0,405.1505524814129,9.662213621472555,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WW,2,2000.0,2500.0,12.557186089456081,1.685212365271094,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WW,3,2500.0,3000.0,3.1176525950431824,0.8828864357622053,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WW,4,3000.0,3500.0,0.9266377240419388,0.4931862560486241,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WZ,1,1100.0,2000.0,102.17559579014778,3.878140427000984,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
