process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cT0_at_1,yield_cT0_at_0p3,cT0_95CL_LL,cT0_95CL_UL,yield_cT0_95CL_LL,yield_cT0_95CL_UL,comb_cT0_95CL_LL,comb_cT0_95CL_UL,comb_yield_cT0_95CL_LL,comb_yield_cT0_95CL_UL,all_comb_cT0_95CL_LL,all_comb_cT0_95CL_UL,all_comb_yield_cT0_95CL_LL,all_comb_yield_cT0_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cT0,sm_lin_quad_cT0,quad_cT0,lin_cT0,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
TTbar,3,2500.0,3000.0,5.822826702147722,0.7932122228369981,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
TTbar,4,3000.0,3500.0,1.3927788622677326,0.3782020039470605,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WJets,1,1100.0,2000.0,1377.3680602400855,11.487063777598474,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WJets,2,2000.0,2500.0,27.586104618152604,1.6326704450275293,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WJets,3,2500.0,3000.0,4.344207974485471,0.6476899967839551,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WJets,4,3000.0,3500.0,1.0306387416349025,0.3118642947060499,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WW,1,1100.0,2000.0,405.1505524814129,9.662213621472555,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WW,2,2000.0,2500.0,12.557186089456081,1.685212365271094,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WW,3,2500.0,3000.0,3.1176525950431824,0.8828864357622053,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WW,4,3000.0,3500.0,0.9266377240419388,0.4931862560486241,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WZ,1,1100.0,2000.0,102.17559579014778,3.878140427000984,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WZ,2,2000.0,2500.0,3.415310353040695,0.6665928769264714,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WZ,3,2500.0,3000.0,1.3098052777349949,0.4650351233339387,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
