process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cW_at_1,yield_cW_at_0p3,cW_95CL_LL,cW_95CL_UL,yield_cW_95CL_LL,yield_cW_95CL_UL,comb_cW_95CL_LL,comb_cW_95CL_UL,comb_yield_cW_95CL_LL,comb_yield_cW_95CL_UL,all_comb_cW_95CL_LL,all_comb_cW_95CL_UL,all_comb_yield_cW_95CL_LL,all_comb_yield_cW_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cW,sm_lin_quad_cW,quad_cW,lin_cW,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.453632454977241,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,279.1587857982847,-0.27300000190734863,0.2680000066757202,227.12362291696405,230.29689500415466,-0.11900000274181366,0.11800000071525574,69.81983123843695,73.72649925585628,-0.09200000017881393,0.09000000357627869,69.81983123843695,73.72649925585628,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,2654.5703896351733,19.13840682595785,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,73.04239782827393,-0.3050000071525574,0.2980000078678131,74.52821025074648,72.09432520498616,-0.11900000274181366,0.11800000071525574,12.48752009598159,12.654590566200941,-0.09200000017881393,0.09000000357627869,12.48752009598159,12.654590566200941,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,790.2057261511859,1.4951460101747773,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,40.256837914455055,-0.25200000405311584,0.24699999392032623,28.27821615182616,27.4246543553525,-0.11900000274181366,0.11800000071525574,6.548866293924098,6.562214740468173,-0.09200000017881393,0.09000000357627869,6.548866293924098,6.562214740468173,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,441.715916760863,0.4980393703598879,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,40.917324595550014,-0.2549999952316284,0.25,29.513363912207062,28.46035733752346,-0.11900000274181366,0.11800000071525574,6.5136555588374625,6.44859016126096,-0.09200000017881393,0.09000000357627869,6.5136555588374625,6.44859016126096,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,452.65677274357193,0.17812015156648714,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,279.1587857982847,-0.27300000190734863,0.2680000066757202,227.12362291696405,230.29689500415466,-0.11900000274181366,0.11800000071525574,69.81983123843695,73.72649925585628,-0.09200000017881393,0.09000000357627869,69.81983123843695,73.72649925585628,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,2654.5703896351733,19.13840682595785,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,73.04239782827393,-0.3050000071525574,0.2980000078678131,74.52821025074648,72.09432520498616,-0.11900000274181366,0.11800000071525574,12.48752009598159,12.654590566200941,-0.09200000017881393,0.09000000357627869,12.48752009598159,12.654590566200941,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,790.2057261511859,1.4951460101747773,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,40.256837914455055,-0.25200000405311584,0.24699999392032623,28.27821615182616,27.4246543553525,-0.11900000274181366,0.11800000071525574,6.548866293924098,6.562214740468173,-0.09200000017881393,0.09000000357627869,6.548866293924098,6.562214740468173,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,441.715916760863,0.4980393703598879,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,40.917324595550014,-0.2549999952316284,0.25,29.513363912207062,28.46035733752346,-0.11900000274181366,0.11800000071525574,6.5136555588374625,6.44859016126096,-0.09200000017881393,0.09000000357627869,6.5136555588374625,6.44859016126096,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,452.65677274357193,0.17812015156648714,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075774,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,279.1587857982847,-0.27300000190734863,0.2680000066757202,227.12362291696405,230.29689500415466,-0.11900000274181366,0.11800000071525574,69.81983123843695,73.72649925585628,-0.09200000017881393,0.09000000357627869,69.81983123843695,73.72649925585628,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,2654.5703896351733,19.13840682595785,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,73.04239782827393,-0.3050000071525574,0.2980000078678131,74.52821025074648,72.09432520498616,-0.11900000274181366,0.11800000071525574,12.48752009598159,12.654590566200941,-0.09200000017881393,0.09000000357627869,12.48752009598159,12.654590566200941,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,790.2057261511859,1.4951460101747773,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
